family,descriptor,n_common_cases,spearman_rho,bootstrap_ci_low,bootstrap_ci_high
displacement,mass_effect_3_20mm_magnitude_mm_median,213,0.17817733415126624,0.04017968691914179,0.3078546945967269
displacement,mass_effect_3_20mm_magnitude_mm_p95,213,0.35817390678048183,0.2277426549705027,0.47862504457841265
displacement,mass_effect_3_20mm_radial_mm_median,213,0.6644889616308323,0.5710001930601973,0.7438959800875445
displacement,mass_effect_3_20mm_mean_absolute_radial_mm,213,0.28745706473011934,0.15532969124414522,0.413046767234579
displacement,mass_effect_3_20mm_outward_integral_ml_mm,213,0.7689716149125398,0.6990342905766438,0.8250000015084202
displacement,mass_effect_3_20mm_inward_integral_ml_mm,213,0.6768709594899673,0.5898169105386579,0.747778677443805
displacement,mass_effect_3_20mm_logjac_expansion_integral_ml,213,0.6885091185448079,0.5984490458338612,0.763479047379856
displacement,mass_effect_3_20mm_logjac_compression_integral_ml,213,0.8420391862726349,0.785520073637253,0.8843047470512203
hodge,total_rms_mm,214,0.13004337697561155,-0.007916677638471556,0.25590581347596886
hodge,curl_free_energy_fraction,214,0.2572037309709157,0.12353738014682457,0.37646669050450227
hodge,divergence_free_energy_fraction,214,0.259058808403562,0.12924566438000631,0.3877974946625994
