association,first_variable,second_variable,n_subjects,spearman_rho,bootstrap_ci025,bootstrap_ci975,p_value,bootstrap_samples,p_value_holm
lesion_volume_vs_aq,lesion_volume_ml,wab_aq,210,-0.6984816433954624,-0.769084874916342,-0.6121820641858596,4.688638020890822e-32,5000,4.688638020890822e-31
magnitude_vs_lesion_volume,me_mass_effect_3_20mm_magnitude_mm_median,lesion_volume_ml,210,0.13860437392490274,-0.004069461399813664,0.2743504412767675,0.04482705437519744,5000,0.04482705437519744
absolute_radial_vs_lesion_volume,me_mass_effect_3_20mm_mean_absolute_radial_mm,lesion_volume_ml,210,0.29104838788051557,0.15730199547292817,0.41586464144129687,1.8219451317857235e-05,5000,0.00012753615922500065
magnitude_vs_aq,me_mass_effect_3_20mm_magnitude_mm_median,wab_aq,210,-0.18404802245875232,-0.3157221395441777,-0.047704124246560564,0.007493633513876897,5000,0.02248090054163069
absolute_radial_vs_aq,me_mass_effect_3_20mm_mean_absolute_radial_mm,wab_aq,210,-0.27026619026594484,-0.3937319888693771,-0.1344968729523517,7.271148679703292e-05,5000,0.00036355743398516457
radial_direction_vs_aq,me_mass_effect_3_20mm_radial_mm_median,wab_aq,210,-0.2771877197023011,-0.39514014747656284,-0.14864855222449522,4.642104508938736e-05,5000,0.00027852627053632416
hodge_total_rms_vs_lesion_volume,hhd_total_rms_mm,lesion_volume_ml,210,-0.4622981408713511,-0.5669008576925046,-0.3449528440388843,1.6226197328538176e-12,5000,1.460357759568436e-11
hodge_total_rms_vs_aq,hhd_total_rms_mm,wab_aq,210,0.3768712199325762,0.2549101009749373,0.48320548158638765,1.7198209495221634e-08,5000,1.3758567596177307e-07
hodge_curl_free_fraction_vs_aq,hhd_curl_free_energy_fraction,wab_aq,210,-0.21158447500715424,-0.3399550270389861,-0.0782449714212075,0.002050437026744582,5000,0.008201748106978327
hodge_divergence_free_fraction_vs_aq,hhd_divergence_free_energy_fraction,wab_aq,210,0.167665190545647,0.032732463100341794,0.29444806554822284,0.014997420345222561,5000,0.029994840690445123
