repeat,model,n,mae,rmse,r2,pearson_r
1,intercept_only,210,24.18437188208617,27.75413754215066,-0.014280072852474568,-0.15933234505955465
1,clinical_only,210,24.184296493184323,27.7571004500904,-0.014496644445684437,-0.16211218277598416
1,lesion_standard,210,16.73845184519634,20.77899766716456,0.43147232616936215,0.6594287622011494
1,lesion_plus_mass_effect,210,16.000613198972573,19.990141010638787,0.4738202430105021,0.6886059776781448
1,lesion_plus_uncertainty,210,16.2746123175031,20.67283185249479,0.43726702435412856,0.6658802923093867
1,lesion_uncertainty_plus_mass_effect,210,15.67054242055019,19.898674304981583,0.4786243934239358,0.6925659180085222
1,lesion_plus_hodge,210,16.827660133226598,20.778804943351254,0.4314828722327386,0.6591811991289654
1,lesion_plus_mass_effect_plus_hodge,210,16.052262484165656,19.97300117608427,0.4747221643749048,0.6892154616915855
2,intercept_only,210,24.315874149659862,27.830855265159375,-0.01989514937195902,-0.18806688820480374
2,clinical_only,210,24.336950782203314,27.91589689271785,-0.02613757754874113,-0.15706108803612356
2,lesion_standard,210,16.282268062020705,20.114206612564622,0.4672686748482774,0.6838832526755744
2,lesion_plus_mass_effect,210,15.654166620105201,19.540307346755284,0.49723480911209805,0.7051620881186244
2,lesion_plus_uncertainty,210,15.167905681693512,19.444833411401948,0.5021358277212569,0.7087266632478549
2,lesion_uncertainty_plus_mass_effect,210,15.208466696255122,19.10560111743714,0.5193556588288211,0.7208781893355414
2,lesion_plus_hodge,210,16.435722601537332,20.228133912309453,0.46121678080634665,0.6794803970581158
2,lesion_plus_mass_effect_plus_hodge,210,15.881393662371249,19.672021993615093,0.4904340227204629,0.7004445548587799
3,intercept_only,210,24.090582766439912,27.670257252560965,-0.008158496066227316,-0.12043252470419286
3,clinical_only,210,24.111225344562165,27.80268143925361,-0.017831267117508043,-0.11499491916301818
3,lesion_standard,210,16.161741612969433,20.069773825590847,0.4696197089520546,0.6854421089429639
3,lesion_plus_mass_effect,210,15.377601746994939,19.31688065524828,0.5086664571271504,0.7133839676705575
3,lesion_plus_uncertainty,210,15.965299286337883,20.31527588813512,0.4565646695265907,0.679168721671339
3,lesion_uncertainty_plus_mass_effect,210,15.223026889087249,19.182435357317072,0.5154820093905863,0.7180185029796889
3,lesion_plus_hodge,210,16.17206599228617,19.974207151083306,0.4746587296355459,0.6890299660972541
3,lesion_plus_mass_effect_plus_hodge,210,15.496262469916461,19.315503540595405,0.5087365096904968,0.7134423943711078
4,intercept_only,210,24.059648526077094,27.596454398191696,-0.0027876932931800713,-0.07039814761679238
4,clinical_only,210,24.082453539203318,27.6900641052693,-0.009602327508570818,-0.07668575866917687
4,lesion_standard,210,16.521757436482535,20.681485487860304,0.436795806357678,0.6625765246456536
4,lesion_plus_mass_effect,210,15.690820335064204,19.90811199964432,0.4781297121612559,0.6922228758548771
4,lesion_plus_uncertainty,210,15.947040410503712,20.548563496058293,0.4440120819706521,0.6727476107693525
4,lesion_uncertainty_plus_mass_effect,210,15.324663599178031,19.525333551887012,0.49800505476089385,0.7062486157185507
4,lesion_plus_hodge,210,16.65526069940593,20.736635895546716,0.4337880576801699,0.6605075061564049
4,lesion_plus_mass_effect_plus_hodge,210,15.86169693669799,19.942972566092706,0.4763004455569094,0.6913498238033721
5,intercept_only,210,24.04575396825397,27.58951390741403,-0.0022833557837786955,-0.06371262960483098
5,clinical_only,210,24.142315393139377,27.762574726928882,-0.01489684353272791,-0.07580795963655175
5,lesion_standard,210,16.366432734340652,20.343853625883433,0.45503468040243744,0.6756988617329314
5,lesion_plus_mass_effect,210,15.636484486826769,19.65659741954976,0.49123279742316894,0.7017292599533953
5,lesion_plus_uncertainty,210,15.614425571956174,19.974363385318178,0.4746505113756876,0.6917093857608859
