association,first_variable,second_variable,n_subjects,spearman_rho,bootstrap_ci025,bootstrap_ci975,p_value,bootstrap_samples,p_value_holm
lesion_volume_vs_aq,lesion_volume_ml,wab_aq,210,-0.6984816433954624,-0.769084874916342,-0.6121820641858596,4.688638020890822e-32,5000,5.626365625068987e-31
magnitude_vs_lesion_volume,me_mass_effect_3_20mm_magnitude_mm_median,lesion_volume_ml,210,0.4071909631899654,0.2805769459207477,0.5280307898646184,8.601907661020867e-10,5000,8.601907661020867e-09
absolute_radial_vs_lesion_volume,me_mass_effect_3_20mm_mean_absolute_radial_mm,lesion_volume_ml,210,0.4316139335844998,0.30384350015873646,0.5431292517360762,6.130451813359976e-11,5000,6.743496994695974e-10
magnitude_vs_registration_sensitivity,me_mass_effect_3_20mm_magnitude_mm_median,me_registration_sensitivity_3_20mm_mm_median,210,0.399263345783675,0.26853420850336296,0.5173199714029215,1.938749183723175e-09,5000,1.7448742653508574e-08
absolute_radial_vs_registration_sensitivity,me_mass_effect_3_20mm_mean_absolute_radial_mm,me_registration_sensitivity_3_20mm_mm_median,210,0.38669940685405885,0.25617684835961496,0.5008234245512934,6.732020860624684e-09,5000,5.385616688499747e-08
magnitude_vs_aq,me_mass_effect_3_20mm_magnitude_mm_median,wab_aq,210,-0.3523092821873487,-0.4703082670815225,-0.22205020345537996,1.5705972441209938e-07,5000,9.423583464725963e-07
absolute_radial_vs_aq,me_mass_effect_3_20mm_mean_absolute_radial_mm,wab_aq,210,-0.3680442128146395,-0.4916039935646585,-0.2385150954260487,3.890340462643854e-08,5000,2.723238323850698e-07
radial_direction_vs_aq,me_mass_effect_3_20mm_radial_mm_median,wab_aq,210,-0.2349743593263434,-0.35558145535346974,-0.11187848442616119,0.0005970089352035375,5000,0.00238803574081415
hodge_total_rms_vs_lesion_volume,hhd_total_rms_mm,lesion_volume_ml,210,-0.021290408269704852,-0.1672251679346865,0.11586290039716032,0.7590560652424163,5000,0.7590560652424163
hodge_total_rms_vs_aq,hhd_total_rms_mm,wab_aq,210,0.0709166831401115,-0.06306451948543393,0.20552833277180704,0.30638595710903244,5000,0.6127719142180649
hodge_curl_free_fraction_vs_aq,hhd_curl_free_energy_fraction,wab_aq,210,-0.24010832911513744,-0.36541671551523996,-0.10429642855469291,0.00044773023162578157,5000,0.002238651158128908
hodge_divergence_free_fraction_vs_aq,hhd_divergence_free_energy_fraction,wab_aq,210,0.1759790598452186,0.03818869135548028,0.30344901465939017,0.010620982437878259,5000,0.031862947313634774
