variant,feature,common_analysis_cases,spearman_vs_primary,median_absolute_difference,variant_spearman_vs_aq
smoothing_8mm,total_rms_mm,203,0.9967680482913549,0.29190979365978187,0.06781381237696549
smoothing_8mm,curl_free_energy_fraction,203,0.9937555766587962,0.004117970934485071,-0.2630002474808219
smoothing_8mm,divergence_free_energy_fraction,203,0.9936479883862048,0.006677161680439636,0.20552078814978506
smoothing_12mm,total_rms_mm,210,0.9981327726900189,0.24727529578084073,0.09232204582085084
smoothing_12mm,curl_free_energy_fraction,210,0.9945887985798187,0.0033281302334683682,-0.21975839762898994
smoothing_12mm,divergence_free_energy_fraction,210,0.9945304882196875,0.006448193382923684,0.14928099156066066
taper_12mm,total_rms_mm,208,0.9909747003568513,0.4614840309913093,0.014244236346310196
taper_12mm,curl_free_energy_fraction,208,0.9938511145604967,0.0037456905661754497,-0.25472865908767134
taper_12mm,divergence_free_energy_fraction,208,0.993901788524214,0.003710951312420163,0.1812537901937121
taper_20mm,total_rms_mm,210,0.9929651789966082,0.39364037193230994,0.12243714548679444
taper_20mm,curl_free_energy_fraction,210,0.9957692594260317,0.002955239355946604,-0.22330760087268173
taper_20mm,divergence_free_energy_fraction,210,0.9957524142108826,0.0028877832772922774,0.16497510440694518
padding_16mm,total_rms_mm,210,1.0,1.7121107864781493e-09,0.0709166831401115
padding_16mm,curl_free_energy_fraction,210,0.9995127845464586,0.0020053019677453016,-0.24754947538271693
padding_16mm,divergence_free_energy_fraction,210,0.9994130090413453,0.003838783047376948,0.16786344833910624
padding_32mm,total_rms_mm,210,1.0,1.7336073687701514e-09,0.0709166831401115
padding_32mm,curl_free_energy_fraction,210,0.9997278849860541,0.0015525106141877354,-0.23737483359028608
padding_32mm,divergence_free_energy_fraction,210,0.9996294052667213,0.002931024446035102,0.18362688662297294
grid_3mm,total_rms_mm,210,0.9976507403796004,0.12915031325296455,0.09941850860437701
grid_3mm,curl_free_energy_fraction,210,0.9963977155296686,0.0026192507579064356,-0.23110833235388825
grid_3mm,divergence_free_energy_fraction,210,0.9965532098233519,0.002343133609391701,0.16796646464355072
grid_5mm,total_rms_mm,209,0.9974157421525843,0.15448831693782306,0.06479855406409314
grid_5mm,curl_free_energy_fraction,209,0.9960066249539934,0.0030518110872384124,-0.2378856391924219
grid_5mm,divergence_free_energy_fraction,209,0.9959146117040854,0.0032537233053754333,0.1748064410272614
